rid,decision,reason
R0286,exclude,no-agent
R0287,exclude,no-question
R0288,exclude,no-question
R0289,exclude,not-forest
R0290,include,
R0291,include,
R0292,include,
R0293,exclude,no-question
R0294,exclude,not-forest
R0295,include,
R0296,exclude,not-forest
R0297,include,
R0298,exclude,not-research
R0299,include,
R0300,exclude,off-topic
R0301,include,
R0302,exclude,off-topic
R0303,include,
R0304,exclude,no-sensing
R0305,exclude,no-agent
R0306,exclude,no-question
R0307,include,
R0308,include,
R0309,include,
R0310,exclude,no-agent
R0311,include,
R0312,include,
R0313,exclude,no-agent
R0314,include,
R0315,include,
R0316,include,
R0317,include,
R0318,include,
R0319,include,
R0320,include,
R0321,include,
R0322,exclude,no-agent
R0323,include,
R0324,include,
R0325,exclude,no-agent
R0326,include,
R0327,exclude,duplicate
R0328,exclude,no-question
R0329,exclude,no-agent
R0330,exclude,no-agent
R0331,exclude,not-research
R0332,include,
R0333,include,
R0334,include,
R0335,exclude,not-research
R0336,exclude,no-question
R0337,exclude,not-forest
R0338,exclude,no-agent
R0339,include,
R0340,include,
R0341,include,
R0342,include,
R0343,include,
R0344,pending-abstract,
R0345,exclude,not-research
R0346,include,
R0347,include,
R0348,include,
R0349,exclude,not-forest
R0350,include,
R0351,exclude,no-agent
R0352,exclude,not-forest
R0353,exclude,no-question
R0354,include,
R0355,exclude,no-question
R0356,exclude,no-question
R0357,exclude,no-question
R0358,include,
R0359,include,
R0360,exclude,no-question
R0361,exclude,no-agent
R0362,exclude,no-question
R0363,include,
R0364,exclude,no-question
R0365,exclude,off-topic
R0366,exclude,no-agent
R0367,exclude,no-agent
R0368,exclude,off-topic
R0369,exclude,not-forest
R0370,exclude,duplicate
R0371,exclude,duplicate
R0372,pending-abstract,
R0373,include,
R0374,include,
R0375,include,
R0376,include,
R0377,exclude,no-agent
R0378,include,
R0379,include,
R0380,include,
R0381,pending-abstract,
R0382,exclude,no-sensing
R0383,include,
R0384,exclude,no-agent
R0385,include,
R0386,include,
R0387,exclude,no-question
R0388,pending-abstract,
R0389,exclude,off-topic
R0390,exclude,no-question
R0391,include,
R0392,include,
R0393,exclude,no-question
R0394,exclude,no-agent
R0395,include,
R0396,exclude,no-agent
R0397,exclude,not-forest
R0398,include,
R0399,include,
R0400,pending-abstract,
R0401,exclude,not-forest
R0402,exclude,no-agent
R0403,include,
R0404,exclude,no-question
R0405,exclude,not-forest
R0406,include,
R0407,exclude,no-agent
R0408,exclude,no-sensing
R0409,include,
R0410,pending-abstract,
R0411,include,
R0412,pending-abstract,
R0413,pending-abstract,
R0414,pending-abstract,
R0415,include,
R0416,exclude,no-agent
R0417,pending-abstract,
R0418,exclude,no-agent
R0419,pending-abstract,
R0420,exclude,not-forest
R0421,include,
R0422,pending-abstract,
R0423,include,
R0424,include,
R0425,exclude,duplicate
R0426,exclude,duplicate
R0427,pending-abstract,
R0428,pending-abstract,
R0429,exclude,no-question
R0430,include,
R0431,exclude,duplicate
R0432,exclude,duplicate
R0433,exclude,off-topic
R0434,pending-abstract,
R0435,pending-abstract,
R0436,pending-abstract,
R0437,include,
R0438,pending-abstract,
R0439,include,
R0440,include,
R0441,exclude,no-question
R0442,pending-abstract,
R0443,include,
R0444,include,
R0445,pending-abstract,
R0446,pending-abstract,
R0447,exclude,duplicate
R0448,include,
R0449,pending-abstract,
R0450,pending-abstract,
R0451,pending-abstract,
R0452,pending-abstract,
R0453,pending-abstract,
R0454,pending-abstract,
R0455,pending-abstract,
R0456,pending-abstract,
R0457,pending-abstract,
R0458,pending-abstract,
R0459,include,
R0460,include,
R0461,include,
R0462,include,
R0463,exclude,no-sensing
R0464,include,
R0465,include,
R0466,include,
R0467,include,
R0468,include,
R0469,pending-abstract,
R0470,include,
R0471,include,
R0472,include,
R0473,pending-abstract,
R0474,include,
R0475,include,
R0476,include,
R0477,include,
R0478,include,
R0479,include,
R0480,include,
R0481,include,
R0482,include,
R0483,include,
R0484,include,
R0485,include,
R0486,pending-abstract,
R0487,include,
R0488,include,
R0489,include,
R0490,include,
R0491,pending-abstract,
R0492,include,
R0493,include,
R0494,include,
R0495,include,
R0496,include,
R0497,include,
R0498,exclude,not-forest
R0499,include,
R0500,include,
R0501,exclude,not-research
R0502,exclude,no-question
R0503,include,
R0504,exclude,no-question
R0505,include,
R0506,include,
R0507,include,
R0508,exclude,no-sensing
R0509,exclude,not-forest
R0510,include,
R0511,include,
R0512,pending-abstract,
R0513,include,
R0514,include,
R0515,include,
R0516,exclude,no-sensing
R0517,include,
R0518,include,
R0519,include,
R0520,include,
R0521,include,
R0522,include,
R0523,include,
R0524,exclude,no-sensing
R0525,include,
R0526,include,
R0527,include,
R0528,include,
R0529,include,
R0530,exclude,no-sensing
R0531,exclude,no-sensing
R0532,include,
R0533,include,
R0534,exclude,duplicate
R0535,include,
R0536,include,
R0537,include,
R0538,exclude,not-forest
R0539,exclude,no-agent
R0540,exclude,no-agent
R0541,include,
R0542,include,
R0543,exclude,no-question
R0544,include,
R0545,include,
R0546,include,
R0547,include,
R0548,exclude,no-question
R0549,exclude,no-agent
R0550,exclude,no-question
R0551,exclude,duplicate
R0552,exclude,no-sensing
R0553,include,
R0554,exclude,no-question
R0555,exclude,not-research
R0556,include,
R0557,include,
R0558,include,
R0559,exclude,no-question
R0560,include,
R0561,exclude,not-forest
R0562,include,
R0563,include,
R0564,exclude,no-question
R0565,include,
R0566,exclude,no-question
R0567,exclude,off-topic
R0568,exclude,no-agent
R0569,exclude,no-question
R0570,exclude,no-agent
R0571,include,
R0572,include,
R0573,pending-abstract,
R0574,exclude,no-agent
R0575,include,
R0576,exclude,no-sensing
R0577,exclude,no-agent
R0578,include,
R0579,pending-abstract,
R0580,exclude,no-agent
R0581,pending-abstract,
R0582,exclude,no-question
R0583,pending-abstract,
R0584,include,
R0585,include,
R0631,include,
R0632,pending-abstract,
R0633,exclude,no-question
R0634,include,
R0635,include,
R0636,include,
R0637,include,
R0638,exclude,not-forest
R0639,include,
R0640,exclude,no-question
R0641,include,
R0642,exclude,no-question
R0643,exclude,no-agent
R0644,include,
R0645,include,
R0646,exclude,no-sensing
R0647,exclude,not-forest
R0648,exclude,no-question
R0649,include,
R0650,exclude,no-question
R0651,exclude,not-forest
R0652,exclude,no-sensing
R0653,include,
R0654,include,
R0655,include,
R0656,exclude,not-forest
R0657,exclude,no-agent
R0658,include,
R0659,pending-abstract,
R0660,include,
R0661,include,
R0662,include,
R0663,pending-abstract,
R0664,pending-abstract,
R0665,include,
R0666,include,
R0667,pending-abstract,
R0668,exclude,no-sensing
R0669,include,
R0670,pending-abstract,
R0671,pending-abstract,
R0672,exclude,no-sensing
R0673,include,
R0674,pending-abstract,
R0675,pending-abstract,
R0676,pending-abstract,
R0677,pending-abstract,
R0678,include,
R0679,pending-abstract,
R0680,pending-abstract,
R0681,pending-abstract,
R0682,pending-abstract,
R0683,include,
R0684,include,
R0685,exclude,no-question
R0686,include,
R0687,include,
R0688,include,
R0689,include,
R0690,exclude,no-sensing
R0691,include,
R0692,pending-abstract,
R0693,include,
R0694,include,
R0695,pending-abstract,
R0696,pending-abstract,
R0697,include,
R0698,pending-abstract,
R0699,pending-abstract,
R0700,include,
R0701,pending-abstract,
R0702,pending-abstract,
R0703,include,
R0704,pending-abstract,
R0705,pending-abstract,
R0706,pending-abstract,
R0707,include,
R0708,pending-abstract,
R0709,pending-abstract,
R0710,include,
R0711,pending-abstract,
R0712,pending-abstract,
R0713,pending-abstract,
R0714,pending-abstract,
R0715,pending-abstract,
R0716,pending-abstract,
R0717,pending-abstract,
R0718,pending-abstract,
R0719,include,
R0720,pending-abstract,
R0721,pending-abstract,
R0586,pending-abstract,
R0587,include,
R0588,pending-abstract,
R0589,exclude,off-topic
R0590,include,
R0591,pending-abstract,
R0592,include,
R0593,pending-abstract,
R0594,pending-abstract,
R0595,pending-abstract,
R0596,include,
R0597,include,
R0598,pending-abstract,
R0599,pending-abstract,
R0600,include,
R0601,include,
R0602,exclude,no-sensing
R0603,exclude,no-question
R0604,exclude,no-agent
R0605,pending-abstract,
R0606,pending-abstract,
R0607,include,
R0608,pending-abstract,
R0609,exclude,no-agent
R0610,exclude,no-agent
R0611,pending-abstract,
R0612,pending-abstract,
R0613,include,
R0614,pending-abstract,
R0615,include,
R0616,pending-abstract,
R0617,exclude,no-question
R0618,pending-abstract,
R0619,pending-abstract,
R0620,pending-abstract,
R0621,include,
R0622,pending-abstract,
R0623,pending-abstract,
R0624,pending-abstract,
R0625,pending-abstract,
R0626,exclude,not-forest
R0627,pending-abstract,
R0628,pending-abstract,
R0629,pending-abstract,
R0630,pending-abstract,
SENF2015,include,recovered-from-screening-error
